X,Y,ORIENTATION,LS 0-179,LC 180-359,LD 360-539
-6.907180927836208406e-01,-1.162069777916783453e+00,-2.310019107234607461e+00,5.957666562994321069e+00,1.012333336472511336e+00,5.918176724107225617e+00
-6.907180927836208406e-01,-1.162069777916783453e+00,-2.310019107234607461e+00,6.134222097860442702e+00,1.004388892650604159e+00,5.787900475507282927e+00
-7.509742431999290035e-01,-1.226216507436258096e+00,-2.402251344986134018e+00,6.039610980616675562e+00,9.776111116011937385e-01,5.979336924315815871e+00
-7.675626062582449061e-01,-1.247235803840539781e+00,-2.395161539878886359e+00,5.614388782448238580e+00,9.532777763075298560e-01,5.679557939919319232e+00
-7.675626062582449061e-01,-1.247235803840539781e+00,-2.395161539878886359e+00,5.975610976748995995e+00,9.258888893657259977e-01,5.616795507583828950e+00
-7.950158860955308660e-01,-1.284710801195921182e+00,-2.387079089371582086e+00,6.188777643442153753e+00,9.052222205532921562e-01,5.354254067273429563e+00
-8.071485269941808260e-01,-1.297863687093293805e+00,-2.394953111356314945e+00,6.162110984325408936e+00,8.913888868358400552e-01,4.904806567819078644e+00
-8.071485269941808260e-01,-1.297863687093293805e+00,-2.394953111356314945e+00,6.010610979464319215e+00,8.851666635937160965e-01,4.893480603207541080e+00
-7.997596623135355687e-01,-1.289808360192336689e+00,-2.396280511825731097e+00,5.898333200812340138e+00,8.933333297570545950e-01,5.821381115123053007e+00
-7.997596623135355687e-01,-1.289808360192336689e+00,-2.396280511825731097e+00,5.414611003133985356e+00,9.062777754333284363e-01,5.499668433521334165e+00
-7.962962578162494642e-01,-1.287058677499236081e+00,-2.441172099420562791e+00,5.877610988087123900e+00,9.266111092434988761e-01,5.996850733598951599e+00
-8.002874011461639236e-01,-1.292174332455605867e+00,-2.514772348996258788e+00,5.634277655018700592e+00,9.359444442722532065e-01,6.871823077043775818e+00
-8.002874011461639236e-01,-1.292174332455605867e+00,-2.514772348996258788e+00,5.229888789190185960e+00,9.432777739233441094e-01,7.059005405362798413e+00
-8.002874011461639236e-01,-1.292174332455605867e+00,-2.514772348996258788e+00,4.961777675482961669e+00,9.610555549462636016e-01,7.048673920868510301e+00
-8.006740692781081359e-01,-1.283682970907209064e+00,-2.627890806756084441e+00,5.469055437048276680e+00,9.720555563767750984e-01,7.077292705767721515e+00
-8.006740692781081359e-01,-1.283682970907209064e+00,-2.627890806756084441e+00,5.221222106284565179e+00,9.789444456497827796e-01,7.065745742940112706e+00
-8.182244389673224427e-01,-1.255952573651108795e+00,-2.720933796270517568e+00,5.001388775971200573e+00,9.811666670772763998e-01,6.966684946697720093e+00
-8.231990303598494263e-01,-1.244760624635598889e+00,-2.742322909161870381e+00,4.990777664714389772e+00,9.835000038146972656e-01,7.120165619402300194e+00
-8.231990303598494263e-01,-1.244760624635598889e+00,-2.742322909161870381e+00,4.647111010551452814e+00,9.893333405256271584e-01,6.992209827043733839e+00
