position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
-1.390510814305075726e+00,-5.085602173088871192e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.891254073138365830e-03,9.999924290422094186e-01
-1.390510814305075726e+00,-5.085602173088871192e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.891254073138365830e-03,9.999924290422094186e-01
-1.389905920137241013e+00,-2.423039857626087257e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.773113306759241586e-02,9.996154181778047487e-01
-1.392173760296529395e+00,-4.320909263215885754e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.123795997342187741e-02,9.986864730523599132e-01
-1.392173760296529395e+00,-4.320909263215885754e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.123795997342187741e-02,9.986864730523599132e-01
-1.394811826705257163e+00,-6.095768837111201210e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.067719965493644341e-02,9.967402818466992720e-01
-1.397799986345321432e+00,-7.988055312471498137e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.106670758656349979e-01,9.938575342167255133e-01
-1.397799986345321432e+00,-7.988055312471498137e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.106670758656349979e-01,9.938575342167255133e-01
-1.404692732073118400e+00,-1.060900464384726682e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.460182132058500393e-01,9.892819018925651520e-01
-1.404870006060458421e+00,-1.066000309408510899e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.460182132058500393e-01,9.892819018925651520e-01
-1.416005154467237848e+00,-1.112897886442072437e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.634868544109490673e-01,9.865455126018328746e-01
-1.419125058207437284e+00,-1.205527814645974138e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.773598889485366037e-01,9.841460612084786952e-01
-1.426296749505368222e+00,-1.385157941949697324e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.032707549580818618e-01,9.791225664740709211e-01
-1.429567494097215175e+00,-1.473103093862593305e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.163858038412642126e-01,9.763079349754205660e-01
-1.433708261320211452e+00,-1.556527107891786665e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.287511385344887793e-01,9.734849339456543849e-01
-1.442807575670400633e+00,-1.724319595728347476e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.547902074945853634e-01,9.669963547836497586e-01
-1.447661642886534761e+00,-1.811131817837857982e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.676058741436479482e-01,9.635284615016902476e-01
-1.458379655521785168e+00,-2.000389553526127351e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.947598956480928512e-01,9.555713494645626804e-01
