Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1648214356.2498155,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.2698858,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.2898128,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3098462,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.309859,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3300724,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3300853,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3499753,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3499932,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.369821,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3698397,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3897767,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.3899827,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.4099085,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.4300349,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.44969,0.061019054800272,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.469648,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.4897263,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5096538,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5096698,0.0566493608057499,-0.10034631416201593,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5296218,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5296476,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5498176,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.54985,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5697935,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5698097,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.569816,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
1648214356.5898995,0.0566493608057499,-0.09597662016749384,-0.0,-0.4454580277204514,-0.4454580277204514,-0.4454580277204514
