Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1648214387.3511791,16252,1648214387,350547532,fufi_imu_link,-0.0053475646770136396,-0.0075517000002398305,-0.02404027552421521,0.9996681652087613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018465768545866013,-0.014613213948905468,0.47475823760032654,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.07568303495645523,0.278733491897583,9.517128944396973,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.3605785,16253,1648214387,359960525,fufi_imu_link,-0.005293558788170297,-0.007477710124839587,-0.02178394716189141,0.999720721868209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001998281106352806,0.002321911510080099,0.4796561300754547,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.05425186827778816,0.20149657130241394,9.499961853027344,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.426112,16254,1648214387,425390985,fufi_imu_link,-0.005400542224153294,-0.0076454272691663955,-0.0059852718830727845,0.9999382771481662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000990877510048449,-0.008245205506682396,0.4829995334148407,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0812356099486351,0.08172044903039932,9.429984092712402,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.443622,16255,1648214387,442968198,fufi_imu_link,-0.00523668780449172,-0.0076904894718103035,-0.0017255407781257717,0.9999552269884614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018043480813503265,-0.007228725124150515,0.48457464575767517,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.15977346897125244,0.0451241135597229,9.493921279907227,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.4809718,16256,1648214387,480457687,fufi_imu_link,-0.004809231889173955,-0.007535348801645301,0.0073294456517988445,0.9999331822844519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023596100509166718,0.007655896712094545,0.48299524188041687,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.28053808212280273,0.1133628711104393,9.600142478942871,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.489848,16257,1648214387,489216273,fufi_imu_link,-0.00479792301696773,-0.007473055707256847,0.00944914815203164,0.9999159199514329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003017830429598689,0.012085087597370148,0.48412659764289856,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.147464320063591,-0.03850332275032997,9.648519515991211,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.5004675,16258,1648214387,499897966,fufi_imu_link,-0.004766225414559015,-0.007416100104189155,0.012019684750513038,0.9998888996948814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011769147589802742,0.006414239760488272,0.4812634289264679,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.10394132137298584,-0.13783329725265503,9.640764236450195,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.5181062,16259,1648214387,517686624,fufi_imu_link,-0.004770156683703564,-0.007269085002966369,0.01621722873603499,0.9998306894172412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005167088471353054,0.011042176745831966,0.4719879627227783,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.029840772971510887,-0.1624610275030136,9.78477668762207,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.556204,16260,1648214387,555548371,fufi_imu_link,-0.004737590698815616,-0.007349621397522151,0.024449321744177906,0.9996628276403666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078042661771178246,-0.007684000767767429,0.43484610319137573,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.04440714418888092,-0.3050202429294586,9.347803115844727,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214387.563852,16261,1648214387,563271463,fufi_imu_link,-0.004804282645904078,-0.007375911551786306,0.026105479385972612,0.9996204373376262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004353678319603205,-0.006573166698217392,0.42897823452949524,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.16646403074264526,-0.24201643466949463,9.550707817077637,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
